run,Iteration,Fitness,Accuracy,ExecutionTime,Discrete,Real
0,0,90.53866030610217,99.28443649373881,0.2765531539916992,[0 0 1 0 1 0 0 1 1],[73233.26047875 85993.3350872 ]
0,1,90.53866030610217,99.28443649373881,0.41667699813842773,[0 0 1 0 1 0 0 1 1],[73233.26047875 85993.3350872 ]
0,2,90.53866030610217,99.28443649373881,0.5980620384216309,[0 0 1 0 1 0 0 1 1],[73233.26047875 85993.3350872 ]
0,3,90.53866030610217,99.28443649373881,0.8392577171325684,[0 0 1 0 1 0 0 1 1],[73233.26047875 85993.3350872 ]
0,4,90.53866030610217,99.28443649373881,1.045658826828003,[0 0 1 0 1 0 0 1 1],[73233.26047875 85993.3350872 ]
0,5,90.53866030610217,99.28443649373881,1.2299213409423828,[0 0 1 0 1 0 0 1 1],[73233.26047875 85993.3350872 ]
0,6,90.53866030610217,99.28443649373881,1.4418072700500488,[0 0 1 0 1 0 0 1 1],[73233.26047875 85993.3350872 ]
0,7,90.53866030610217,99.28443649373881,1.6741065979003906,[0 0 1 0 1 0 0 1 1],[73233.26047875 85993.3350872 ]
0,8,90.53866030610217,99.28443649373881,1.910991907119751,[0 0 1 0 1 0 0 1 1],[73233.26047875 85993.3350872 ]
0,9,90.53866030610217,99.28443649373881,2.117048978805542,[0 0 1 0 1 0 0 1 1],[73233.26047875 85993.3350872 ]
0,10,90.53866030610217,99.28443649373881,2.3292219638824463,[0 0 1 0 1 0 0 1 1],[73233.26047875 85993.3350872 ]
0,11,90.53866030610217,99.28443649373881,2.538271188735962,[0 0 1 0 1 0 0 1 1],[73233.26047875 85993.3350872 ]
0,12,90.53866030610217,99.28443649373881,2.764827013015747,[0 0 1 0 1 0 0 1 1],[73233.26047875 85993.3350872 ]
0,13,90.53866030610217,99.28443649373881,2.9660205841064453,[0 0 1 0 1 0 0 1 1],[73233.26047875 85993.3350872 ]
0,14,90.53866030610217,99.28443649373881,3.194328784942627,[0 0 1 0 1 0 0 1 1],[73233.26047875 85993.3350872 ]
0,15,90.53866030610217,99.28443649373881,3.410383462905884,[0 0 1 0 1 0 0 1 1],[73233.26047875 85993.3350872 ]
0,16,90.53866030610217,99.28443649373881,3.646177053451538,[0 0 1 0 1 0 0 1 1],[73233.26047875 85993.3350872 ]
0,17,90.53866030610217,99.28443649373881,3.9382245540618896,[0 0 1 0 1 0 0 1 1],[73233.26047875 85993.3350872 ]
0,18,90.53866030610217,99.28443649373881,4.125581979751587,[0 0 1 0 1 0 0 1 1],[73233.26047875 85993.3350872 ]
0,19,90.53866030610217,99.28443649373881,4.355330228805542,[0 0 1 0 1 0 0 1 1],[73233.26047875 85993.3350872 ]
1,0,92.47465712581993,98.92665474060823,0.22009491920471191,[0 0 1 0 1 0 1 0 0],[25561.41340008 75966.17823539]
1,1,92.47465712581993,98.92665474060823,0.3834826946258545,[0 0 1 0 1 0 1 0 0],[25561.41340008 75966.17823539]
1,2,92.47465712581993,98.92665474060823,0.5460059642791748,[0 0 1 0 1 0 1 0 0],[25561.41340008 75966.17823539]
1,3,92.47465712581993,98.92665474060823,0.7002663612365723,[0 0 1 0 1 0 1 0 0],[25561.41340008 75966.17823539]
1,4,92.47465712581993,98.92665474060823,0.9121284484863281,[0 0 1 0 1 0 1 0 0],[25561.41340008 75966.17823539]
1,5,92.47465712581993,98.92665474060823,1.1210191249847412,[0 0 1 0 1 0 1 0 0],[25561.41340008 75966.17823539]
1,6,92.47465712581993,98.92665474060823,1.3362367153167725,[0 0 1 0 1 0 1 0 0],[25561.41340008 75966.17823539]
1,7,92.47465712581993,98.92665474060823,1.5739822387695312,[0 0 1 0 1 0 1 0 0],[25561.41340008 75966.17823539]
1,8,92.47465712581993,98.92665474060823,1.7780909538269043,[0 0 1 0 1 0 1 0 0],[25561.41340008 75966.17823539]
1,9,92.47465712581993,98.92665474060823,2.047791004180908,[0 0 1 0 1 0 1 0 0],[25561.41340008 75966.17823539]
1,10,92.47465712581993,98.92665474060823,2.2696917057037354,[0 0 1 0 1 0 1 0 0],[25561.41340008 75966.17823539]
1,11,92.47465712581993,98.92665474060823,2.5380752086639404,[0 0 1 0 1 0 1 0 0],[25561.41340008 75966.17823539]
1,12,92.47465712581993,98.92665474060823,2.770913600921631,[0 0 1 0 1 0 1 0 0],[25561.41340008 75966.17823539]
1,13,92.47465712581993,98.92665474060823,2.982748031616211,[0 0 1 0 1 0 1 0 0],[25561.41340008 75966.17823539]
1,14,92.47465712581993,98.92665474060823,3.238182783126831,[0 0 1 0 1 0 1 0 0],[25561.41340008 75966.17823539]
1,15,92.47465712581993,98.92665474060823,3.5204684734344482,[0 0 1 0 1 0 1 0 0],[25561.41340008 75966.17823539]
1,16,92.47465712581993,98.92665474060823,3.7767813205718994,[0 0 1 0 1 0 1 0 0],[25561.41340008 75966.17823539]
1,17,92.47465712581993,98.92665474060823,4.054151296615601,[0 0 1 0 1 0 1 0 0],[25561.41340008 75966.17823539]
1,18,92.47465712581993,98.92665474060823,4.3016557693481445,[0 0 1 0 1 0 1 0 0],[25561.41340008 75966.17823539]
1,19,92.47465712581993,98.92665474060823,4.575050354003906,[0 0 1 0 1 0 1 0 0],[25561.41340008 75966.17823539]
2,0,92.33154442456768,98.74776386404294,0.23668718338012695,[0 0 1 0 0 0 1 1 0],[ 9452.02291932 75589.27294946]
2,1,92.33154442456768,98.74776386404294,0.3942999839782715,[0 0 1 0 0 0 1 1 0],[ 9452.02291932 75589.27294946]
2,2,92.33154442456768,98.74776386404294,0.5592584609985352,[0 0 1 0 0 0 1 1 0],[ 9452.02291932 75589.27294946]
2,3,92.33154442456768,98.74776386404294,0.7116909027099609,[0 0 1 0 0 0 1 1 0],[ 9452.02291932 75589.27294946]
2,4,92.33154442456768,98.74776386404294,0.8621273040771484,[0 0 1 0 0 0 1 1 0],[ 9452.02291932 75589.27294946]
2,5,92.33154442456768,98.74776386404294,1.0308868885040283,[0 0 1 0 0 0 1 1 0],[ 9452.02291932 75589.27294946]
2,6,92.33154442456768,98.74776386404294,1.2255020141601562,[0 0 1 0 0 0 1 1 0],[ 9452.02291932 75589.27294946]
2,7,92.33154442456768,98.74776386404294,1.4420933723449707,[0 0 1 0 0 0 1 1 0],[ 9452.02291932 75589.27294946]
2,8,92.33154442456768,98.74776386404294,1.6615502834320068,[0 0 1 0 0 0 1 1 0],[ 9452.02291932 75589.27294946]
2,9,92.33154442456768,98.74776386404294,1.9000277519226074,[0 0 1 0 0 0 1 1 0],[ 9452.02291932 75589.27294946]
2,10,92.33154442456768,98.74776386404294,2.16550612449646,[0 0 1 0 0 0 1 1 0],[ 9452.02291932 75589.27294946]
2,11,92.33154442456768,98.74776386404294,2.3917391300201416,[0 0 1 0 0 0 1 1 0],[ 9452.02291932 75589.27294946]
2,12,92.33154442456768,98.74776386404294,2.644336700439453,[0 0 1 0 0 0 1 1 0],[ 9452.02291932 75589.27294946]
2,13,92.33154442456768,98.74776386404294,2.8587441444396973,[0 0 1 0 0 0 1 1 0],[ 9452.02291932 75589.27294946]
2,14,92.33154442456768,98.74776386404294,3.1395421028137207,[0 0 1 0 0 0 1 1 0],[ 9452.02291932 75589.27294946]
2,15,92.33154442456768,98.74776386404294,3.3699612617492676,[0 0 1 0 0 0 1 1 0],[ 9452.02291932 75589.27294946]
2,16,92.33154442456768,98.74776386404294,3.6200551986694336,[0 0 1 0 0 0 1 1 0],[ 9452.02291932 75589.27294946]
2,17,92.33154442456768,98.74776386404294,3.8295679092407227,[0 0 1 0 0 0 1 1 0],[ 9452.02291932 75589.27294946]
2,18,92.33154442456768,98.74776386404294,4.075886487960815,[0 0 1 0 0 0 1 1 0],[ 9452.02291932 75589.27294946]
2,19,92.33154442456768,98.74776386404294,4.297163486480713,[0 0 1 0 0 0 1 1 0],[ 9452.02291932 75589.27294946]
3,0,92.61776982707218,99.10554561717353,0.24057817459106445,[1 0 0 0 0 1 1 0 0],[47283.12654265 57236.3406606 ]
3,1,92.61776982707218,99.10554561717353,0.3863646984100342,[1 0 0 0 0 1 1 0 0],[47283.12654265 57236.3406606 ]
3,2,92.61776982707218,99.10554561717353,0.5288941860198975,[1 0 0 0 0 1 1 0 0],[47283.12654265 57236.3406606 ]
3,3,92.61776982707218,99.10554561717353,0.6953318119049072,[1 0 0 0 0 1 1 0 0],[47283.12654265 57236.3406606 ]
3,4,92.61776982707218,99.10554561717353,0.8588919639587402,[1 0 0 0 0 1 1 0 0],[47283.12654265 57236.3406606 ]
3,5,92.61776982707218,99.10554561717353,1.0319099426269531,[1 0 0 0 0 1 1 0 0],[47283.12654265 57236.3406606 ]
3,6,92.61776982707218,99.10554561717353,1.2129497528076172,[1 0 0 0 0 1 1 0 0],[47283.12654265 57236.3406606 ]
3,7,92.61776982707218,99.10554561717353,1.4341938495635986,[1 0 0 0 0 1 1 0 0],[47283.12654265 57236.3406606 ]
3,8,92.61776982707218,99.10554561717353,1.62205171585083,[1 0 0 0 0 1 1 0 0],[47283.12654265 57236.3406606 ]
3,9,92.61776982707218,99.10554561717353,1.786376953125,[1 0 0 0 0 1 1 0 0],[47283.12654265 57236.3406606 ]
3,10,92.61776982707218,99.10554561717353,1.9819591045379639,[1 0 0 0 0 1 1 0 0],[47283.12654265 57236.3406606 ]
3,11,92.61776982707218,99.10554561717353,2.180083990097046,[1 0 0 0 0 1 1 0 0],[47283.12654265 57236.3406606 ]
3,12,92.61776982707218,99.10554561717353,2.392416000366211,[1 0 0 0 0 1 1 0 0],[47283.12654265 57236.3406606 ]
3,13,92.61776982707218,99.10554561717353,2.618879795074463,[1 0 0 0 0 1 1 0 0],[47283.12654265 57236.3406606 ]
3,14,92.61776982707218,99.10554561717353,2.830799102783203,[1 0 0 0 0 1 1 0 0],[47283.12654265 57236.3406606 ]
3,15,92.61776982707218,99.10554561717353,3.0191776752471924,[1 0 0 0 0 1 1 0 0],[47283.12654265 57236.3406606 ]
3,16,92.61776982707218,99.10554561717353,3.20113205909729,[1 0 0 0 0 1 1 0 0],[47283.12654265 57236.3406606 ]
3,17,92.61776982707218,99.10554561717353,3.4022457599639893,[1 0 0 0 0 1 1 0 0],[47283.12654265 57236.3406606 ]
3,18,92.61776982707218,99.10554561717353,3.6013870239257812,[1 0 0 0 0 1 1 0 0],[47283.12654265 57236.3406606 ]
3,19,92.61776982707218,99.10554561717353,3.8137576580047607,[1 0 0 0 0 1 1 0 0],[47283.12654265 57236.3406606 ]
4,0,93.55197773802425,97.49552772808586,0.25958776473999023,[0 1 0 0 0 1 0 0 0],[62079.39727882 20494.84914641]
4,1,93.55197773802425,97.49552772808586,0.39420437812805176,[0 1 0 0 0 1 0 0 0],[62079.39727882 20494.84914641]
4,2,93.55197773802425,97.49552772808586,0.5420248508453369,[0 1 0 0 0 1 0 0 0],[62079.39727882 20494.84914641]
4,3,93.55197773802425,97.49552772808586,0.6830694675445557,[0 1 0 0 0 1 0 0 0],[62079.39727882 20494.84914641]
4,4,93.55197773802425,97.49552772808586,0.835155725479126,[0 1 0 0 0 1 0 0 0],[62079.39727882 20494.84914641]
4,5,93.55197773802425,97.49552772808586,1.0073354244232178,[0 1 0 0 0 1 0 0 0],[62079.39727882 20494.84914641]
4,6,93.55197773802425,97.49552772808586,1.1196544170379639,[0 1 0 0 0 1 0 0 0],[62079.39727882 20494.84914641]
4,7,93.55197773802425,97.49552772808586,1.2696921825408936,[0 1 0 0 0 1 0 0 0],[62079.39727882 20494.84914641]
4,8,93.55197773802425,97.49552772808586,1.4116666316986084,[0 1 0 0 0 1 0 0 0],[62079.39727882 20494.84914641]
4,9,93.55197773802425,97.49552772808586,1.5631473064422607,[0 1 0 0 0 1 0 0 0],[62079.39727882 20494.84914641]
4,10,93.55197773802425,97.49552772808586,1.7446928024291992,[0 1 0 0 0 1 0 0 0],[62079.39727882 20494.84914641]
4,11,93.55197773802425,97.49552772808586,1.8932082653045654,[0 1 0 0 0 1 0 0 0],[62079.39727882 20494.84914641]
4,12,93.55197773802425,97.49552772808586,2.0254688262939453,[0 1 0 0 0 1 0 0 0],[62079.39727882 20494.84914641]
4,13,93.55197773802425,97.49552772808586,2.156658411026001,[0 1 0 0 0 1 0 0 0],[62079.39727882 20494.84914641]
4,14,93.55197773802425,97.49552772808586,2.2886619567871094,[0 1 0 0 0 1 0 0 0],[62079.39727882 20494.84914641]
4,15,93.55197773802425,97.49552772808586,2.4415154457092285,[0 1 0 0 0 1 0 0 0],[62079.39727882 20494.84914641]
4,16,93.55197773802425,97.49552772808586,2.674065351486206,[0 1 0 0 0 1 0 0 0],[62079.39727882 20494.84914641]
4,17,93.55197773802425,97.49552772808586,2.8513762950897217,[0 1 0 0 0 1 0 0 0],[62079.39727882 20494.84914641]
4,18,93.55197773802425,97.49552772808586,3.0248825550079346,[0 1 0 0 0 1 0 0 0],[62079.39727882 20494.84914641]
4,19,93.55197773802425,97.49552772808586,3.1738197803497314,[0 1 0 0 0 1 0 0 0],[62079.39727882 20494.84914641]
5,0,91.32975551580202,97.49552772808586,0.21228480339050293,[0 1 0 0 0 0 1 0 1],[ 9219.46395072 67029.11657633]
5,1,92.26396342675412,95.8855098389982,0.326918363571167,[0 1 0 0 0 0 1 0 0],[16777.28872913 88769.89218308]
5,2,92.61776982707218,99.10554561717353,0.43257594108581543,[0 1 0 0 0 1 1 0 0],[ 15664.62394914 100000.        ]
5,3,92.61776982707218,99.10554561717353,0.5413591861724854,[0 1 0 0 0 1 1 0 0],[ 15664.62394914 100000.        ]
